,Tot. Score
0,-166.1802627773003
1,-85.75991652182432
2,-526.2151748721476
3,-270.3644064921516
4,-178.52896456492294
5,-585.7953615094169
6,-439.88963409554805
7,-241.03930494876204
8,-186.25824659890185
9,-141.28027109628985
10,-181.33462044490798
11,-139.4991558331957
12,-115.17499155295398
13,-55.224911560095435
14,-129.0241169517757
15,-121.91158995695594
16,-99.82708803101636
17,-44.45960944760103
18,-108.34948050625393
19,-90.44631620100901
20,-78.3260247450857
21,-125.51638378243919
22,-207.3257177001094
23,-118.60537034365927
24,-117.4116122514197
25,-105.3108449862426
26,-244.43141768328567
27,-96.41481980913072
28,-94.947069704075
29,-449.5980188334607
30,-363.75614478150504
31,-113.92857223847088
32,-71.26399189835604
33,-399.13284610903526
34,-104.50585290864429
35,-462.7156139865312
36,-356.4656902638488
37,-215.47611663950562
38,-246.95713198305387
39,-338.0028924652753
40,-81.55986667761984
41,-167.0827010954403
42,-244.55707719961777
43,-127.0424991503294
44,-323.3913485809727
45,-129.46310237563654
46,-55.993188677412675
47,-284.3030973675184
48,-64.51114895167544
49,-466.22350687697764
50,-208.50875652369547
51,-117.78217961569914
52,-108.91474585731957
53,-8.650039647714848
54,-121.40316139575273
55,-113.7306542165986
56,-317.6200063821244
57,-34.90972798828858
58,-31.6636989220938
59,-130.56355730953283
60,-83.12802073827031
61,-160.3606210907186
62,-63.90626434809999
63,-75.02052821985218
64,-245.8069638793617
65,-81.08965351196137
66,-16.279439180530133
67,-206.92798928388515
68,-61.43328061152848
69,-261.6076403182341
70,-94.38823355161804
71,-264.88384690630596
72,-66.62714646196888
73,-247.00447482270434
74,-67.52335618976605
75,-205.70483549315364
76,3.7984345356039597
77,-232.86384450599576
78,-386.1566548039477
79,-250.79619346356682
80,-357.49340499749627
81,-719.8363264181268
82,-85.35721075284634
83,-95.1043586239561
84,-58.472811229212944
85,-14.529685899116473
86,-102.91172779865374
87,-103.13588009485402
88,-78.10411532326327
89,-179.28133846797712
90,-54.43322967072467
91,-131.06257152387658
92,-171.92958897362104
93,-39.88158878234799
94,-50.539809544342916
95,-230.2603094421351
96,-179.98705862142867
97,-10.561399885559624
98,-79.56794730811458
99,-199.23017464667265
100,-204.7036302917972
101,-153.48468480381644
102,-99.48179809312985
103,-481.42699262876425
104,-67.38896849434298
105,-170.63480510233666
106,-34.86146228491329
107,-122.88278450922695
108,-119.65609003627904
109,-114.82151824150051
110,-516.3128877002202
111,-377.85715067173226
112,-139.97722584398667
113,-49.79910816831543
114,-238.2302186986708
115,-64.06518149505234
116,-488.80114030721745
117,-223.62740295476254
118,3.742657875045751
119,-234.4812029001828
120,-394.516410374618
121,-187.34245707637416
122,-4.690028432068132
123,-255.3037999138716
124,-406.3468510396075
125,-520.1120633699705
126,-700.8140545309753
127,-288.2503736029082
128,-252.85962830771314
129,-189.52914707305047
130,-535.6218818312179
131,-531.3879435070612
132,34.26287283136841
133,-69.75151293108435
134,-128.9491643071053
135,-101.62381540858289
136,-166.62712975892578
137,-88.81311988458707
138,-71.00747419989702
139,-634.9735800847343
140,-429.22419698418923
141,-285.79119869913035
142,-60.593421940197544
143,-148.80815552061014
144,-319.9861698281436
145,-102.77137327737222
146,-493.8999396785196
147,-103.64979989869222
148,-60.46948357830833
149,-160.5969351927463
150,-106.22892204230219
151,-138.90601520359422
152,-102.7686984602366
153,-170.13154967519233
154,-125.72990365952684
155,-268.33675666725253
156,-270.0857843423566
157,-180.01350279383217
158,-119.32518504866178
159,-109.84013771729835
160,-142.47732880137255
161,-216.27127572677583
162,-194.78951481497788
163,-83.95843682227397
164,-99.78312713793937
165,-245.72479395435587
166,-96.21651379547811
167,-129.14302256344058
168,-106.7807376905333
169,-116.02104904015125
170,-114.05619193673868
171,-59.812479625795376
172,-75.95228330173842
173,-128.16097209537782
174,-95.90999519261631
175,-96.5853637188767
176,-208.5392512650274
177,-384.78083619932926
178,-179.05131522992082
179,-357.10757247379405
180,-682.3589986511186
181,-526.8637622547399
182,-607.8298851118627
183,-1091.6518348325299
184,-1184.371406050739
185,-1033.4137143176424
186,-972.8266372032308
187,-1377.926823212308
188,-660.9817175484354
189,-620.0106160479324
190,-258.23545803759873
191,-486.4961049405226
192,-414.5481654367009
193,-1444.316972622265
194,-2925.9833997967876
195,-365.2411219624765
196,-152.1598606777161
197,-182.021301550442
198,-322.2198481271812
199,-273.5560258533727
200,-1042.8343492357803
201,-305.2250575534554
202,-181.37300627556513
203,-164.05502896649915
204,-519.5921214005094
205,-114.1104489314743
206,-132.82572137952792
207,-233.81698365712728
208,-183.583081406214
209,-184.29702027169026
210,-136.12453575566036
211,-24.71211105873573
212,-326.9694560187735
213,-475.23228843484765
214,-77.60813462929497
215,-359.52724988312775
216,-88.63682493927517
217,-65.18181216257076
218,-133.53062714141566
219,-126.97561361622229
220,-248.26747431573992
221,-97.79364742930647
222,-202.1960066774917
223,-120.28248050892543
224,-62.49094748489185
225,-91.22693131305759
226,-105.23633314782269
227,-128.90177550369899
228,-4.0372745197924225
229,-76.70248310885027
230,-144.7675201125259
231,-88.30782930091543
232,-42.58274218045881
233,-137.51180059753196
234,-176.0463894747672
235,-112.41406139014978
236,-105.68622641459457
237,-203.31854244150145
238,-80.80572633243916
239,-25.74241279482556
240,-160.83860541873702
241,-139.45726859111448
242,-119.95673815280414
243,-302.76942309009723
244,-137.30767362698637
245,20.297045520504952
246,-101.0446408672362
247,-99.68712472980756
248,-382.8220444208901
249,-109.90752576014283
250,-113.1235838183715
251,-205.45324310273034
252,-325.59074680407616
253,-65.69052517998198
254,75.57707856945036
255,-88.61838814253532
256,-120.59504165662268
257,-300.2275525895468
258,-43.664309588214245
259,-732.6862585506332
260,-42.41213165194995
261,-426.3813305838417
262,-187.93793643373743
263,-211.63269200709635
264,-34.6318487891513
265,-301.7396706235686
266,-9.281277773296274
267,-85.1877921382243
268,-231.4187610952252
269,-196.00782300355735
270,-196.06682442922445
271,-67.80323909389836
272,-155.55594361920626
273,-396.8578708184404
274,-55.6872294061467
275,-151.55406474614261
276,-72.92428673448738
277,-68.54239857296633
278,-195.62080482896613
279,-106.68377148625886
280,-40.10442558863389
281,-100.79135307886479
282,-32.43806504882464
283,-96.09079960361261
284,-15.814532718836768
285,-4.731661156993785
286,-30.193215333275877
287,-101.01476429175234
288,-88.88787906999707
289,-81.83314087339605
290,-219.07629230230765
291,-272.3795923606172
292,-20.837637779851082
293,129.14533668193678
294,-70.94444391455458
295,-305.45582185250726
296,156.07308351791355
297,20.5111055215584
298,-299.85817544109057
299,-289.48989276174507
300,-303.1132582814157
301,-538.4458432410938
302,-92.56781389734718
303,15.219761358009197
304,-72.14246612389285
305,155.88458732415577
306,-135.66572750533913
307,-90.8448192465284
308,-143.81414138546552
309,-100.18367138087726
310,-246.08038958088736
311,-287.16981118277374
312,-97.80844787578836
313,-70.76101386920097
314,-143.15197299091494
315,-146.6591372099577
316,178.75636779675924
317,-132.0128388310336
318,-190.15629012506457
319,-165.96950990534924
320,-106.66409228014126
321,7.714694695705445
322,-328.0213802760993
323,-2.875573460976333
324,-59.491821855297665
325,-155.86714976131773
326,-99.43188741784303
327,-20.133120893566456
328,-73.34128631913589
329,-27.485802213458527
330,-73.07653624862078
331,72.20986926292409
332,7.409110078299097
333,-56.143381873360646
334,67.30167980744211
335,211.07180251094138
336,-47.46215855208436
337,179.07019659268303
338,-274.02274365392054
339,139.6808750601457
340,-47.73966992468149
341,201.52461502581653
342,229.8448538362117
343,-81.92615021139085
344,97.35212212141681
345,63.77146799091357
346,206.998413397272
347,198.6083219470214
348,187.78424595247972
349,65.31643449626579
350,215.3584764546106
351,181.51142883514564
352,232.0380921649474
353,78.01611467556506
354,85.97015077066565
355,242.9867907804013
356,152.90607197456362
357,277.386023973174
358,182.04193256082675
359,195.28515997932487
360,59.225266523755394
361,234.98483960044211
362,252.94381302679923
363,206.42730632102808
364,-272.46282496779884
365,93.57686988068458
366,151.5594049758172
367,142.92283699581242
368,229.06588993188166
369,221.76233622331878
370,5.152332872679949
371,110.5621383171685
372,280.93641410595365
373,239.82714104557982
374,220.77497163079013
375,258.569752214685
376,-5.43449424949813
377,233.4578823399019
378,208.03800481981085
379,272.8073805889102
380,222.53220265890886
381,198.4922942710543
382,130.94074769339494
383,229.25360122894267
384,232.12050720380114
385,214.83599934250378
386,262.68005718881034
387,196.46618768895902
388,189.04979697274436
389,275.07672749297876
390,135.37143933246335
391,249.06376917255199
392,203.82235970958266
393,201.59221478791855
394,279.06222503926637
395,-112.75199682273697
396,-172.00260140542844
397,149.5282099663586
398,174.63760338304712
399,262.32453485025064
400,290.796929649863
401,-3.921053260174844
402,143.54272660029682
403,220.0396095069358
404,237.9301150822527
405,-314.9211742856245
406,267.93994631357157
407,283.7479763876109
408,208.921068137762
409,216.85786903943526
410,238.3563739281082
411,278.4980393288426
