,Tot. Score
412,-211.17786434272926
413,13.745951045409711
414,158.81583383043508
415,-148.99037961762667
416,143.67416924637496
417,182.07133614856468
418,200.7389981383263
419,216.5184061525723
420,-197.34089831525648
421,-1.545334354817598
422,251.04737412705893
423,256.97281271304314
424,251.3873836553908
425,195.80568110754763
426,-3.7401914190144367
427,265.8401768824684
428,254.30884886747643
429,277.86806735803157
430,194.80030811112516
431,254.6360274507931
432,257.7677842016286
433,243.02514437996066
434,263.00801039701673
435,219.71236889977536
436,229.55479130440114
437,118.64249698114293
438,-67.4628331981864
439,-214.44220461813458
440,15.04510168178453
441,-163.50255067439622
442,-303.20245156952103
443,-105.90053170288387
444,112.5645891047815
445,215.37280705179967
446,-213.5668097326497
447,272.76820412011125
448,279.02210106381256
449,228.05284942640424
450,233.14648151815305
451,208.76131478500218
452,-250.43553840029386
453,-247.3629281294449
454,-168.98616652697024
455,256.49640714553686
456,227.11198775898558
457,219.3102190784733
458,245.647589850288
459,279.32027503737686
460,264.8828756000946
461,275.4387667024222
462,268.4470744203844
463,267.05584944044284
464,231.33750111718194
465,274.4401896685204
466,199.8409746247515
467,296.07533347942
468,125.57892771429854
469,14.81355945051618
470,265.85245323778645
471,278.25197092877755
472,291.95101423254107
473,274.14206164588484
474,306.54625316026693
475,-88.49590847044138
476,-78.2748485885972
477,145.8798939889176
478,182.4146185094994
479,223.53911832994635
480,297.65223277932853
481,279.05579840877084
482,3.3308997884852687
483,276.06543455046733
484,256.0712679169064
485,270.0536083633308
486,288.1805368698947
487,245.66984991213297
488,210.26433568621667
489,250.2504934557693
490,293.16479186901375
491,278.6921917577457
492,159.42461806053456
493,-206.91490627040935
494,234.94550806090186
495,290.00924397522704
496,204.03485306210615
497,264.54049121835925
498,256.3478833977656
499,265.47981442594664
