,AAPL,MSFT,AMZN,GOOG,TSLA,NVDA,JNJ,JPM,CVX,BAC,INTC,AMD
1372,28.9683895111084,40.871246337890625,21.390499114990234,529.260009765625,52.082000732421875,5.231258869171143,81.8447265625,56.20514678955078,73.19026184082031,15.190088272094727,26.400718688964844,2.4700000286102295
1373,29.100372314453125,41.538063049316406,21.969499588012695,536.72998046875,52.37799835205078,5.3185272216796875,83.19596099853516,56.7330436706543,73.54977416992188,15.198832511901855,26.756032943725586,2.5199999809265137
1374,28.80909538269043,40.98682403564453,21.746000289916992,536.6900024414062,52.50199890136719,5.301558017730713,82.78146362304688,56.15564727783203,72.97753143310547,15.015190124511719,26.499876022338867,2.5799999237060547
1375,29.0389347076416,41.102420806884766,21.81450080871582,538.1900024414062,51.95800018310547,5.279740333557129,82.97212219238281,56.88151931762695,73.57910919189453,15.277536392211914,26.656875610351562,2.619999885559082
1376,28.906949996948242,40.817909240722656,22.29949951171875,540.47998046875,53.534000396728516,5.1439900398254395,82.71514892578125,57.53314971923828,73.432373046875,15.452437400817871,26.516403198242188,2.609999895095825
1377,29.152708053588867,40.57784652709961,22.04199981689453,537.8400268554688,53.034000396728516,5.093083381652832,82.34210968017578,56.93101119995117,72.83075714111328,15.295026779174805,26.36766242980957,2.619999885559082
1378,29.01389503479004,40.586734771728516,22.0049991607666,535.22998046875,53.757999420166016,5.131868839263916,82.16802215576172,56.625823974609375,72.14847564697266,15.190088272094727,26.43376922607422,2.5799999237060547
1379,28.843231201171875,40.239994049072266,21.905000686645508,531.6900024414062,53.417999267578125,5.027632713317871,82.59909057617188,56.873268127441406,72.33922576904297,15.225067138671875,25.63224983215332,2.4700000286102295
1380,28.338048934936523,39.448707580566406,21.493000030517578,521.52001953125,52.40399932861328,4.8773369789123535,80.97429656982422,55.429786682128906,70.93793487548828,14.770325660705566,25.111669540405273,2.3399999141693115
1381,28.542856216430664,39.253116607666016,21.704500198364258,520.510009765625,53.652000427246094,4.874911785125732,80.79193115234375,55.891693115234375,70.77651977539062,14.88400936126709,25.136457443237305,2.4000000953674316
1382,28.80909538269043,39.51984405517578,21.86949920654297,521.8400268554688,53.83000183105469,4.945210933685303,81.62918090820312,56.51438903808594,70.49771118164062,15.058908462524414,24.938146591186523,2.4200000762939453
1383,28.772686004638672,39.47538757324219,21.885499954223633,523.4000244140625,56.00400161743164,4.9500603675842285,81.60431671142578,56.057743072509766,70.33633422851562,14.892754554748535,25.25214195251465,2.5299999713897705
1384,28.672561645507812,39.466495513916016,21.802000045776367,522.8599853515625,55.944000244140625,4.889457702636719,81.40538024902344,55.90000915527344,69.529296875,14.81405258178711,24.822458267211914,2.4700000286102295
1385,28.602012634277344,39.386470794677734,21.836000442504883,525.02001953125,53.57600021362305,4.797341346740723,82.00223541259766,55.45996856689453,69.8961181640625,14.595426559448242,24.70677375793457,2.0899999141693115
1386,27.892032623291016,39.333126068115234,21.485000610351562,516.8300170898438,50.992000579833984,4.763402938842773,81.04891967773438,54.32255554199219,68.64155578613281,14.210644721984863,24.376251220703125,2.009999990463257
1387,27.323131561279297,39.58208084106445,21.719499588012695,520.6799926757812,51.58399963378906,4.705223560333252,81.57115173339844,54.88711166381836,68.8029556274414,14.411781311035156,23.905248641967773,1.9800000190734863
1388,28.05359649658203,39.66209030151367,22.175500869750977,530.1300048828125,51.83000183105469,4.7876434326171875,82.50791931152344,55.667545318603516,69.26516723632812,14.604169845581055,24.103565216064453,1.9600000381469727
1389,28.595186233520508,40.48894500732422,22.778499603271484,546.5499877929688,52.43199920654297,4.819157123565674,83.121337890625,56.530982971191406,69.40457153320312,14.88400936126709,24.566301345825195,1.9600000381469727
1390,28.58381462097168,40.56006622314453,23.278499603271484,561.0999755859375,53.130001068115234,4.8215813636779785,82.71514892578125,57.319698333740234,70.1015396118164,14.980205535888672,24.500198364257812,2.049999952316284
1391,28.85916519165039,40.684539794921875,23.059499740600586,560.219970703125,52.62799835205078,4.7876434326171875,83.24569702148438,57.44425582885742,69.14044189453125,15.461186408996582,24.533248901367188,1.9600000381469727
1392,29.24373435974121,41.48472213745117,23.77400016784668,579.8499755859375,53.33599853515625,4.894306659698486,83.81768035888672,57.751434326171875,69.31652069091797,15.697299003601074,24.70677375793457,1.8700000047683716
